L2L         ,2L,2L-140-SABD,7.04189E+12,KARLSEN  ENSEMBLE 96  LJONES,DANIEL-LESUR  DYRUD  HAVORY,SO IS MY LOVE,BLU-RAY AUDIO + SACD,2,27.29,41.99,2017,"""So is my love"" is about love and the beloved, and this includes the sense of love awakened in us by religious faith and by nature. In works by Dyrud, Odegaard, Havrøy, Daniel-Lesur and Stockhausen the countless facets of love are painted in music and words: we encounter passion, lust, prayer and longing, but we also find humour, playfulness and joy. The two previous albums produced by 2L with Ensemble 96 were honored by The Recording academy with nominations to the GRAMMY Award in both technical craft and performance categories. The chamber choir Ensemble 96, which consists of 24 highly qualified singers, is one of Norway’s leading vocal ensembles, and has gained its reputation through many critically acclaimed concerts, premieres, and recordings. It has a particular focus on contemporary music and seeks to expand the traditional choir concert by means of collaborations with other artists, including dancers, actors, and visual artists. The ensemble often presents a mix of contemporary music and classical songs. The musical director and conductor is Nina Therese Karlsen, who holds an MA in Choir Conducting from the Norwegian Academy of Music."
MEL         ,MELODIYA,MELCD1002481,4.60032E+12,KOGAN  ROSTROPOVICH  RICHTER  SHCHEDRIN  NASEDKIN  PETROV  KHRENNIKOV  BASHKIROV  ESHPAI  AVDEYEVA  REPIN  KHOMITSER  GR,VARIOUS,V2: RUSSIAN & SOVIET SYMPHONIC,COMPACT DISC,56,382.19,587.99,2017,"Melodiya presents the second part of the Anthology of Russian and Soviet Symphonic Music, an anniversary limited collection of recordings of orchestral works by Russian composers of the 19th and 20th centuries. The second part of the Anthology also includes complete recordings of Alexander Glazunov’s orchestral music, symphonic music of Rachmaninoff and Scriabin, Nikolai Myaskovsky's 14 of the composer’s 27 symphonies and cello concerto, recordings of a number of symphonic and instrumental concertos by Dmitri Shostakovich and some of the pieces by Soviet classical composers such as Sergei Prokofiev, Aram Khachaturian and Reinhold Glière. The Anthology includes a symphony by Anatoly Alexandrov, a piano concerto by German Galynin, Symphony No. 4 by Nikolai Peiko, Sinfonietta No. 1 by Mieczyslaw Weinberg and other little know pages of Soviet music – orchestral pieces by Alexandra Pakhmutova, Rostislav Boiko, Alexander Mosolov, Zinovy Kompaneits, Arkady Mazayev and Grigory Zaborov. The set features works by the leading composers of 20th century: Tikhon Khrennikov, Andrei Eshpai and Rodion Shchedrin. The second box set of the Anthology of Russian and Soviet Symphonic Music (55 CDs + a bonus CD) is a lined hard board box with a lid. The edition contains a hardback booklet in four languages (Russian, English, French and German) with illustrations of the cover works of the original releases."
MEL         ,MELODIYA,MELCD1002500,4.60032E+12,ANTON BATAGOV,"BACH, J.S.",BACH,COMPACT DISC,2,23.39,35.99,2017,"Melodiya presents a recording of J.S. Bach’s partitas performed by Anton Batagov, a promising pianist, prize-winner and Tatiana Nikolayeva’s alumni, the first performer of minimalist music in Russia and a composer with a distinctive style. As a principled antagonist of “authentism,” Batagov plays any music in a poignantly contemporary fashion, sensing the breath of today in it. Batagov hears Bach in drastically changing tempos, articulation and strokes as he repeats. His religious rendition of Bach’s partitas (he perceives No. 4 as a Christmas mystery, and No. 6 as a reflection of the Holy Passion) only naturally includes an arrangement of the chorale Jesus bleibet meine Freude played by the pianist between two cycles as a connecting link and dramatic core of the recording."
MER         ,MERIDIAN RECORDS LTD,CDE84643,5.01596E+12,"Berkowitz, Paul","Schubert, Franz","Schubert: Piano Works, Vol. 8",COMPACT DISC,1,15.59,23.99,2017,"Schubert’s Impromptus have long been amongst his most beloved works, secure in the piano benches of amateurs, the curricula of students and the recitals of professionals long before his Schubert’s sonatas were revived. However, in the context of the piano music of Schubert’s time, they are deeply problematic works whose difficult publication history reveals much about the relationships between public performance and the sheet music business in early 19th century Vienna. This new release features renowned pianist Paul Berkowitz performing his Four Impromptus D. 899 and Four Impromptus D. 935. Paul Berkowitz has recorded the complete piano sonatas of Schubert for Meridian Records to worldwide acclaim. He was described by the London Sunday Times as being “in the royal class of Schubert interpreters” and his recordings of the Last Three Schubert Piano Sonatas were included among the same newspaper’s Records of the Year. His recording of Schumann’s Kreisleriana was selected by BBC Radio Record Review as the best of all available recordings. He has also released a series of three recordings of Brahms Piano Music. With these recordings of the Impromptus, Moments Musicaux, and other repertoire as the final two volumes of a 9-release cycle of major works for piano by Schubert for Meridian, Mr. Berkowitz brings to a close this cycle of Schubert piano works which he first began in 1984."
MER         ,MERIDIAN RECORDS LTD,CDE84644,5.01596E+12,"Berkowitz, Paul","Schubert, Franz","Schubert: Piano Works, Vol. 9",COMPACT DISC,1,15.59,23.99,2017,"Paul Berkowitz has previously recorded the complete Piano Sonatas of Schubert for Meridian Records in seven volumes, released in the late 1980s and 1990s to worldwide acclaim. He was described by the London Sunday Times as being “in the royal class of Schubert interpreters” and his previous recordings of the Last Three Schubert Piano Sonatas were included among the same newspaper’s Records of the Year of 1987. With these latest recordings of the Impromptus, Moments Musicaux and other repertoire as the final two volumes of a 9-release cycle of major works for piano by Schubert for Meridian, Mr. Berkowitz brings to a close this great cycle of Schubert piano works which he first began in 1984."
MTR         ,METIER,MSV28563,8.09731E+11,"Stanhope, Louis; Birmingham Conservatoire Brass Band; Martinez, Jose Daniel Martin; Womack, Patrick; Johnstone, Matt; McNeill, Jack; Porthouse, Ian; Miyachi, Fumiko; Purkis, Suzanna; Cobalt Duo","Miyachi, Fumiko; Shakespeare, William",Transitional Metal,COMPACT DISC,1,14.81,22.99,2017,"Fumiko Miyachi writes of this new release: “Transitional Metal is my first portrait album featuring six pieces written between 2003 and 2016. I have always been drawn to the neatness of the periodic table; the rhythmic drive and clarity of texture inherent in my music somehow conjure the “metal” connection. Starting with carbon (which is not a metal, I know!) in 2010, I have named four more pieces after metal elements, three of which are included here.” Having had piano lessons since the age of three, music has always been part of Fumiko’s life. She was born in Tokyo, Japan in 11979 and has been living in the UK since 1993. She stumbled into composition when she was asked to take up a second study at Royal College of Music Junior Department; though she took up the cello a few years later, composition came to mind first, as she had always enjoyed notating familiar tunes like movie themes and pop songs. Since then, she has been a composer and pianist. After completing her BMus and MMus studies in composition at the Guildhall School of Music and Drama, she obtained a DPhil from University of Sussex under Martin Butler’s supervision."
MTR         ,METIER,MSV28568,8.09731E+11,"Turner, John; Manchester Chamber Ensemble; Balding, Caroline; London Myriad; Merrick, Linda; Ehrlich, Ruth; Pipers 3; Keeley, Robert","Birtwistle, Harrison; Keeley, Robert",Twists & Turns,COMPACT DISC,1,14.81,22.99,2017,"British composer Rob Keeley lectures in composition at Kings College London – as a pianist he has had works written for him by Birtwistle, Finnissy and many others. As a composer he has produced two symphonies and a wide range of vocal and chamber music; he likes to explore unusual combinations of instruments and this together with his ability to produce delightful works of great originality makes this album exceptionally satisfying. It includes his arrangement of a piece which Harrison Birtwistle wrote for him: unlike Birtwistle’s more infamous works this is a beautiful little piece. The composer plays harpsichord in several pieces – the other four soloists are all at the top of their respective instrumental ‘trees’ in the UK and well known to Metier customers; two of the three ensembles are specialists in new music and extending technique and repertoire: Pipers 3 is a unique trio of oboes while London Myriad is a flexible ensemble, here configured as a wind quartet (flute, oboe, clarinet & bassoon)."
MONS        ,MONS RECORDS - CHALLENGE,MR 874606,4.26005E+12,RUDIGER BALDAUF SEXTET,VARIOUS,JACKSON TRIP,COMPACT DISC,1,14.03,21.99,2017,"This new release is a cool and creative tribute to Michael Jackson. Put it this way, anyone taking on tracks like “Beat It” or “Man in the Mirror” needs to deliver the goods. Fortunately, the band around trumpeter Rudiger Baldauf has done this brilliantly, and they’ve also shown that there’s a lot more from the King of Pop still to be played. Jackson Trip is an interesting interpretation of songs that will last forever. At the same time, Jackson Trip surprises with ultramodern instrumental pieces that still contain the magic of the originals. The repertoire ranges from “Billie Jean” and “Bad” through to “Working Day and Night,” featuring Bill Evans, a former sideman of Miles Davis. Other guest musicians include the guitarists Dean Brown and Daniel Stelter. The recordings were made in one of the last of the classic recording studios, the Cologne Maarweg Studio 2, where albums from Pink Floyd to Jupiter Jones have been produced."
MOT         ,MOTOWN RECORDS - UNIVERSAL,B002733002,6.02558E+11,VARIOUS,,DETROIT,COMPACT DISC,1,11.52,17.99,2017,
MOT         ,MOTOWN RECORDS - UNIVERSAL,HCD2028,96802280368,DANIELS  KELLAWAY,,JUST FRIENDS: LIVE VILLAGE VAN,COMPACT DISC,1,18.46,28.99,2017,
MO          ,MUSICA OMNIA,MO0703,8.0189E+11,"Bednarz, Blanka; Bengtson, Matthew","Anonymous; Kochanski, Paul; Szymanowski, Karol",Szymanowski: Masterworks for Violin and Piano and Piano Solo,COMPACT DISC,3,18.71,28.99,2017,"A revolution in art and literature swept through Europe and by the early 1800s Romanticism dominated the musical landscape. Such figures as Beethoven, Mendelssohn, and Brahms exemplified the ideals yet maintained highly individual approaches. Now, our finest historically-informed musicians and scholars present this incomparable repertoire in a series destined by become an essential part of every serious music lover’s collection. Karol Szymanowski was a giant in the history of Polish music and among the greatest composers of his turbulent era. His music spans a kaleidoscopic range of styles from late-Romantic chromaticism, to shimmering Impressionism, to a proud and energetic nationalist idiom. All his music is marked by an attractive lyricism and an exceptional sensitivity to tone color. Pianist Matthew Bengtson and violinist Blanka Bednarz, life-long tireless advocates of his music, present a varied program of his greatest masterpieces for solo piano and violin/piano duo."
MO          ,MUSICA OMNIA,MO0705,8.0189E+11,"Wu, Chi-Chen","Schumann, Robert",Schumann: Carnival & Fantasie,COMPACT DISC,1,10.91,16.99,2017,"A revolution in art and literature swept through Europe and by the early 1800s Romanticism dominated the musical landscape. Such figures as Beethoven, Mendelssohn, and Brahms exemplified the ideals yet maintained highly individual approaches. Now, our finest historically-informed musicians and scholars present this incomparable repertoire in a series destined by become an essential part of every serious music lover’s collection. Robert Schumann, the “herald of a new poetic age”, in the words of his biographer, John Daverio, carved out a unique position for himself in the world of German Romanticism, especially in the creation of a new genre of solo piano music, which consisted of a cycle of miniatures, often provided with evocatively poetic titles. The present recording features Schumann’s three-movement Fantasie in C major, Op. 17 and the playfully mysterious and kaleidoscopic Carnaval, Op. 9, a series of miniature character portraits with a wide range of moods and textures. Chi-Chen Wu performs these works on a copy of a 19thcentury Viennese fortepiano by Rodney Regier."
NVA         ,NAVONA,NV6102,8.96931E+11,"Vavrínek, Stanislav; Jurceka, Ondrej; Janecek, Aleš; Moravian Philharmonia Winds and Percussion Ensemble; Vronský, Petr","Vollrath, Carl",Carl Vollrath: Warrior Monks,COMPACT DISC,1,11.69,17.99,2017,"WARRIOR MONKS is a collection of two clarinet concerti and a trumpet concerto by Carl Vollrath that span topics of war, solace, fascination, and reverence among many others. “And Bugles Sang” drew inspiration from the unique juxtapositions in Benjamin Britten’s “War Requiem” and explores the many ways the trumpet is used as a symbol throughout human history. At times the trumpet is brash and lyrical, expressing ecstasy; in other instances it is strident and rhythmic perhaps reflecting charges into battle; and yet in an instant it reappears low and mellow in what could be heard as a faux-lullaby. The virtuosity in this piece is not to be understated. The next two concerti were inspired by a trip Vollrath took to China and his powerful impression of “a complex culture which contained an old traditional heritage with a new contemporary injection.” He expresses this fusion especially in “Land of Lanterns” in which he uses various layers of melodies to create rich harmonies and active polyphony; the moments in which the solo clarinet returns to a pure pentatonic are especially poignant. “Dragon Land” further explores Vollrath’s time in China, approaching his experience with a heightened sense of drama. Angular clarinet melodies, quick dynamic changes, and flashes of folk melodies present vignettes that reflect a society where ancient practices and modern influences coexist, at times in discord and at times in harmony. Coincidentally, the final movement of this piece was inspired by warrior monks and became the impetus for the album. A warrior monk is a person trained deeply in both spiritual studies and martial arts; they are engrained with a vast knowledge of their culture and entrust that heritage to the pupils they train. At the same time, they are equipped with the skills to defend it at all costs. This duality inspired Vollrath to create this collection of works, dedicated to those who strive to cultivate acceptance and respect for other cultures. Moreover, it is dedicated to the memory of those who have sacrificed their lives to do so. This is Carl Vollrath’s fourth release on Navona Records. The title And Bugles Sang comes from one of the poems used in Britten’s “War Requiem.” Land of Lanterns was written in response to what Vollrath felt was left unsaid in Dragon Land."
NVA         ,NAVONA,NV6107,8.96931E+11,"Smutný, Martin; Masek, Douglas; Kim, Sangyoung; Mužík, Vít; Beilman, Daniel; Chen, Nan-Cheng; Thomas, Louise; Ferreira, Neal; Bacik, Kinga; Speltz, David; Kaucká, Lucie; Yu-Chieh Lin, Kelly; Burke, Arielle; Guthrie, Kathryn; Li, Xiao'an; Fajkus, Jirí; Fry, David Salsbery; Norsworthy, Michael; Sharrock, Matt","Babcock, Bruce; Maki, David; Morris, Craig Madden; Morrow, Nora; Shakespeare, William; Summer, Joseph; Wai-Chung Tang, Joyce",Fleeting Realms,COMPACT DISC,1,11.69,17.99,2017,"FLEETING REALMS is an inviting compilation of chamber music featuring six composers. Though the album obviously mixes different compositional voices, the different pieces share many characteristics. FLEETING REALMS is defined by a pervasive uplifting quality. Many of the album’s works feature driving rhythms and a joyfully relaxed sensibility. Even dissonance is used playfully or as a counter weight to beautiful lyricism. Such consistency in manner across six pieces by six diverse composers is obviously remarkable, and it makes FLEETING REALMS a very special musical collection. The album’s tone is set by three works: Bruce Babcock’s Irrational Exuberance, Joyce Tang’s Snowy Landscapes, and Nora Morrow’s Luca’s Dream. Each is powerful, yet gentle, and exudes a kind of musical warmth that draws the listener into the rest of the album. Irrational Exuberance, for alto saxophone, cello, and piano, is thematic and rhythmically active, and features conversational imitation between its three instruments. Although interior sections of Irrational Exuberance are more subdued, Babcock’s work is markedly hopeful and confident. Tang’s Snowy Landscapes and Morrow’s Luca’s Dream perfectly embody the subject matter of their titles. Luca’s Dream is scored for solo vibraphone, and Morrow clearly exploits its bell-like sound to emphasize the work’s overall innocence. A fantasia of sorts, Luca’s Dream moves through a series of different melodic ideas, which are united by their rhythmic energy. Beginning in a very sweet, diatonic space, Luca’s Dream becomes increasingly chromatic until its final section, which returns to the gentleness that carries through most of the work. Snowy Landscapes is more texturally active than these other two works, but is nonetheless beautiful and welcoming. Scored for piano trio, Snow Landscapes begins and ends with sections of long violin and cello melodies accompanied by a resonant piano part. In between, we hear more contrapuntal and energetic textures, which, like Irrational Exuberance, feature playful imitation between the trio’s instruments. David Maki’s Five Impromptus for Two and Craig Madden Morris’s Crosscurrents are also notable because they are the album’s most dissonant works. Nevertheless, they approach their dissonance with a warmth and playfulness that fits well with the character of the other works on FLEETING REALMS. Crosscurrents, for example, begins with dissonant solo piano, which eventually gives way to a stately and Romantic cello part whose lyricism comes to dominate the rest of the piece."
NVA         ,NAVONA,NV6108,8.96931E+11,"Târgu Mures State Philharmonic Orchestra; Clements, Charles; Balan, Ovidiu; Marinescu, Ovidiu; Micka, Vit; Goodman, Lindsey; Okrusko, Julia; Eguchi, Leo; Brannen, Colleen; Moravian Philharmonic Orchestra; Bologovsky, Zoia; Moravian Philharmonia Winds and Percussion Ensemble; Braker, Dorothy; Vronský, Petr; Rojahn, Karolina; Wood, Ethan; Uranovsky, Sarita; Page, John; Valenzuela, Yhasmin; Rome, Emily; Sulski, Peter; Cyrus, Joanna","Bakker, Hans; Järvlepp, Jan; Osterfield, Paul; Perttu, Daniel; Schroeder, Pierre; Tann, Hilary",Tomorrow's Air,COMPACT DISC,1,11.69,17.99,2017,"Navona Records is proud to present TOMORROW’S AIR, a collection of contemporary music for large ensemble, written by composers in a variety of styles and genres. Listeners will recognize several names as PARMA regulars, including Daniel Perttu, Hans Bakker, and Paul Osterfield. The album opens with Hilary Tann’s Anecdote for solo cello and orchestra. Inspired by Wallace Stevens’s nature musings in his poem “Anecdote of the Jar,” the work casts the cello solo as a soliloquy, its message elaborated and transformed by wilder orchestral textures. Hans Bakker’s Cantus follows, an intriguing and expressive work for string orchestra. The intimate drama of Cantus is contrasted by mystery and majesty in Daniel Perttu’s lyrical overture To Spring. Written in honor of his daughters, To Spring was inspired by William Blakes poetic ode of the same name. In his profoundly emotional string orchestra piece In Memoriam, Jan Järvlepp honors the memory of his late brother—conforming to no style or influence but that of his own intense grief. Following In Memoriam is Pierre Schroeder’s Late Harvest, a lush, emotional work for strings, clarinet, and piano that forms a part of his eleven-movement magnum opus Voyage. Closing the album is Paul Osterfield’s concertante wind ensemble piece Silver Fantasy, a vibrant celebration of the flute and piccolo with lyrical melodies, dynamic rhythmic energy, and Ivesian pastiche. Together, the works that make up TOMORROW’S AIR encompass a wide spectrum of emotion and drama. Welsh composer Hilary Tann’s “beautiful, lyrical” music is strongly influenced by the natural world. She is a published haiku poet and her compositions have been widely commissioned, recorded, and broadcast by ensembles such as Tenebrae, Cappella Clausura, Marsyas Trio, Thai Philharmonic, and BBC National Orchestra of Wales. Her recent choral music can be heard on the Narvona Records release EXULTET TERRA (NV6069). Dutch composer Hans Bakker has written music for chamber groups, orchestra, carillon, and choir, including the choir cycle Prasasti. He has been featured on Navona Records albums eight times, most recently appearing with Peter Greve on LINES TO INFINITY (NV6070). Daniel Perttu’s neo-romantic music has been praised for “blending mystery, action, and excitement.” His works have been performed at numerous festivals, concerts, and conferences on four continents and in more than thirty states across America. He is currently Associate Professor at Westminster College. Perttu’s music has appeared on five Navona Records albums, most recently on PINNACLE (NV6022). Canadian composer Jan Järvlepp identifies strongly with postmodern musical styles, writing music that is accessible to many audiences. He is active in his home city of Ottawa, having received premieres by the Ottawa Symphony Orchestra (Garbage Concerto) and the Ottawa Chamber Music Festival (Pierrot Solaire). Music by French-American composer Pierre Schroeder has been said to have an emotional, cinematic style. He is an active composer of classical chamber music and jazz, with credit in films and soundtracks, most notably of the documentary “America the Bountiful.” His large work Voyage can be heard on Navona Records’s VOYAGE (NV6000). Paul Osterfield’s music has been performed in Europe and the United States, by ensembles including Ascendo3, the Great Noise Ensemble, the Blakemore Trio, and numerous university wind ensembles. He has won numerous awards, and has been a fellow at the MacDowell Colony. Osterfield has been featured on several PARMA albums, including SOUND AND FURY (NV5978) on Navona Records."
NVA         ,NAVONA,NV6109,8.96931E+11,"Moravian Philharmonic Orchestra; Vronský, Petr","Carollo, John A.",John A. Carollo: The Transfiguration of Giovanni Baudino,COMPACT DISC,1,11.69,17.99,2017,"John A. Carollo's newest release, The Transfiguration of Giovanni Baudino is a fascinating mixture of music written for different orchestral instrumentations and with wildly varying intended emotional responses. The composer himself may best define the intangible aspect of his music's emotive intentions, writing, ''I have always preferred to let music speak for itself. We each derive our own unique personal meanings from our listening experiences and most of it is felt viscerally.'' The visceral is, in the case of much of the music presented on this release, never far away. Carollo's writing for strings in the five movements of The Rhetoric and Mythos of Belief emphasizes the tremulous and melodic, yielding a varied but consistently inspired musical color palette. Throughout this lengthy work the hues of the string ensemble sound tend toward the amber, allowing the luster and huskiness of the lower voices to often become a focal point. In these lush textures, slowly unfolding melodic materials easily maintain primacy of placement, and the many harmonic voices of the ensemble combine in a refined coherency. Likewise, teh works presented on The Transfiguration of Giovanni Baudino featuring full orchestra each, in turn, define their own aural landscapes. The title track is defined by scampering, freewheeling melodic materials that make their way throughout the instruments of the orchestra. Skirting the edges of tonality, the piece takes full advantage of the many timbres and orchestral coloring that can be achieved by a large ensemble. This, like Carollo's other works, has a structural resiliency that both embraces and simultaneously defies the melodic and harmonic materials that constitute it."
NVA         ,NAVONA,NV6110,8.96931E+11,MORAVIAN PHILHARMONIC ORCHESTRA  VRONSKY,"CAROLLO, JOHN A.",TRANSFIGURATION GIOVANNI BAUDI,VINYL,2,11.69,17.99,2017,"John A. Carollo’s newest release, The Transfiguration of Giovanni Baudino, is a fascinating mixture of music written for different orchestral instrumentations and with wildly varying intended emotional responses. The composer himself may best define the intangible aspect of his music’s emotive intentions, writing, “I have always preferred to let music speak for itself. We each derive our own unique personal meanings from our listening experiences and most of it is felt viscerally.” The visceral is, in the case of much of the music presented on this release, never far away. Carollo’s writing for strings in the five movements of The Rhetoric and Mythos of Belief emphasizes the tremulous and melodic, yielding a varied but consistently inspired musical color palette. Throughout this lengthy work the hues of the string ensemble sound tend toward the amber, allowing the luster and huskiness of the lower voices to often become a focal point. In these lush textures, slowly unfolding melodic materials easily maintain primacy of placement, and the many harmonic voices of the ensemble combine in a refined coherency. Likewise, the works presented on The Transfiguration of Giovanni Baudino featuring full orchestra each, in turn, define their own aural landscapes. The title track is defined by scampering, freewheeling melodic materials that make their way throughout the instruments of the orchestra. Skirting the edges of tonality, the piece takes full advantage of the many timbres and orchestral coloring that can be achieved by a large ensemble. This, like Carollo’s other works, has a structural resiliency that both embraces and simultaneously defies the melodic and harmonic materials that constitute it. It can be hard to paint the six works making up The Transfiguration of Giovanni Baudino with a single brush. Do You Have an E.R. for Music?, another orchestral work, couldn’t be farther in emotional intention or impact from The Rhetoric and Mythos of Belief, yet somehow the two pieces exist admirably as separate sides of a single coin in this collection of Carollo’s works. The composer’s dexterous control of the orchestra shines on this release, and the impassioned playing of the Moravian Philharmonic Orchestra, under the direction of Petr Vronský, only accentuates the sheer strength of Carollo’s compositions. Ampersand, Carollo’s first CD was awarded ‘Best Classical CD’ at the 10th Annual Hawaii Music Awards Ceremony in 2006. The Transfiguration of Giovanni Baudino marks two Parma Recordings milestones. It is the 500th Parma album released and is also Parma’s first album to be simultaneously released on vinyl. Carollo was a participant in Parma Recordings’ groundbreaking November 2015 recording session in Havana, Cuba. His Burlesque was featured on the June 2016 album Abrazo: The Havana Sessions. The composer’s musical training included studies with Dr. Robert Wehrman. Before retiring to compose fulltime, Carollo had a long career as a mental health professional for the state of Hawaii, having received a master’s degree in Clinical Psychology from San Diego State University. Of past Carollo album Starry Night for String Orchestra a reviewer wrote, “This is a starry night with meteors and perhaps an exploding star in the midst of it!”"
NVA         ,NAVONA,NV6120,8.96931E+11,"Nishimura, Julie; Nichols, Christopher","Anonymous; Cage, John; Cavallini, Ernesto; Cope, Kevin J.; Magnani, Aurelio; Rabaud, Henri; Saint-Saëns, Camille; Verdi, Giuseppe",Elegia,COMPACT DISC,1,11.69,17.99,2017,"Clarinetist Christopher Nichols makes his PARMA and Navona Records debut with ELEGIA, a compilation of Italian, French, and American clarinet works spanning two centuries. These works include repertoire standards, little-recorded rarities, and recent music from contemporary composer Kevin Cope. Collaborative pianist Julie Nishimura joins Nichols for these recordings. Among the widely-known works featured on the album is the operatic and energetic Adagio and Tarentella by Ernesto Cavallini, a clarinetist/composer known in Italy as “the Paganini of the clarinet.” As the principal clarinetist at Milan’s La Scala opera house, Cavallini’s astounding virtuosity caught the attention of Giuseppe Verdi, who was moved to write the stunning, lyrical Andante for clarinet in act three of his opera La forza del destino (The Force of Destiny)—a piece also included on this release. Nichols also features a favorite recital piece, Elegia. Composed by Aurelio Magnani, another Italian clarinetist/composer, the work is little known and rarely recorded. Two French staples are included as well: Henri Rabaud’s 1901 Solo de concours, Op. 10 and Camille Saint-Saëns’s Sonata for Clarinet and Piano, Op. 167. Each work is divided into contrasting sections or movements, thus displaying the clarinet’s wide-ranging sound in different contexts. The album’s two American works are both for unaccompanied clarinet. John Cage’s rarely heard, early Sonata for Clarinet is a challenging work: at its premiere in 1933, the clarinetist refused to play it, forcing the composer to play it with one finger at the piano. Even as an early piece, it foreshadows Cage’s later forays into the radical avant-garde. Kevin Cope’s 2012 piece Sirocco rounds out the album. The word “sirocco” refers to a desert wind that blows around the Mediterranean coastline, evoked in the piece by wandering tonality and blending of different musical styles. Clarinetist Christopher Nichols is nationally and internationally active as a solo performer. As a soloist, he has been featured at conferences of the International Clarinet Association, European Clarinet Association, and College Music Society. His performances have been broadcast on Kansas and Michigan Public Radio, and have been included in the Audio Performance Archive of College Music Symposium. In 2015, his solo work garnered him an Established Artist Fellowship from the Delaware Division of the Arts. Nichols also frequently performs in ensembles. He is a current member of the Christiana Winds, and regularly performs with mid-Atlantic orchestras such as the Pennsylvania Philharmonic, the Kennett Symphony, and the Allentown Symphony Orchestra. He has collaborated with the Serafin String Quartet, the Taggart-Grycky Duo, and members of the Philadelphia Orchestra and Baltimore Symphony. Nichols is a dedicated teacher, having been Assistant Professor of Clarinet at the University of Delaware since 2013. He is also the Audio Reviews Editor for The Clarinet, and is a Légère Reeds Endorsing Artist and a Buffet Artist Clinician, performing exclusively with Légère Signature Series reeds and Buffet clarinets. Julie Nishimura has been faculty accompanist for the Department of Music at the University of Delaware since 1988. She is active throughout the country as a performer, appearing at music festivals, such as the chamber music series of Carnegie Hall’s Weill Recital Hall; with several symphony orchestras; and as a guest artist at over 45 college campuses. She is artistic director and co-founder of Distant Voices Touring Theatre, which tours two documentary theatrical works: Distant Voices, based on Nishimura’s father’s account of his time in a Japenese-American internment camp, and September Echoes, which chronicles the events surrounding the 9/11 terrorist attacks. Kevin Cope’s music has a dark, engaging character. He works can be tonal and atonal, and is known for his mixing of styles—such as Arabian modes with Western theory. Sirocco was commissioned by clarinetist Arianna Tieghi for a project called “From USA,” where she performs a piece by a composer from each of the 50 states. This is also the world premiere recording of Sirocco."
NVA         ,NAVONA,NV6121,8.96931E+11,"Herford, Johnny; Vann, William; Ventris, Rosalind; Huntley, Anna","Gurney, Ivor; Housman, A.E.; Hugill, Robert; Rossetti, Christina; Williams, Rowan",Quickening,COMPACT DISC,1,11.69,17.99,2017,"British composer Robert Hugill’s new release QUICKENING is an enthralling and intimate showcase of contemporary art song. Across the album, Hugill demonstrates an exceptional sensitivity to text and melody, both of which shine through his clear and lyrical musical language. The four sets of songs on the album are consummate modern lieder, and one can easily imagine hearing them at a private vocal recital alongside the Romantic song cycles of the nineteenth century. Hugill’s songs employ a classic approach to vocal writing, and are defined by smooth melodies and supportive accompaniments that establish the setting for the text and vocalist. To this end, Hugill works with fascinating texts on this album, many of which lead to interesting and unusual musical structures. An excellent example of this is the song, “To His Love”, from the set Four Songs to Texts by Ivor Gurney. Here, instead of fitting the poetry to a traditional song form, Hugill composes something more closely representative of the text’s narrative, resulting in the sudden quieting of the piano so the song’s last lines are sung in as intimate a setting as possible. The album’s titular work, Quickening, stands out both for its defined form and its instrumentation of mezzo-soprano, viola, and piano. The songs in Quickening flow continuously from one to another, and, with the addition of the accompanying viola, Hugill is able to exploit a variety of textures that are inaccessible in his songs for voice and piano. There is also an attractive lightness to Hugill’s writing for mezzo-soprano, which makes the sound world of the song cycle more inviting. Throughout QUICKENING, both Hugill’s music and the performances of baritone Johnny Herford, violist Rosalind Ventris, mezzo-soprano Anna Huntley, and pianist William Vann convey the essential delicacy and intimacy of a salon-style vocal recital. As a result, the listener cannot help but walk into the world of each song cycle and dream of hearing them in a homey space of their own. Hugill’s songs mark the modern extension of the nineteenth century lieder, art songs that should be in one’s home. Consider the intimacy of these works and the kinds of spaces they evoke. Hugill’s songs respond to there individual texts, so consider the changes in mood and structure across each of the album’s song cycles, as informed by the specific songs’ texts. A striking feature of this album are the settings of the contemporary poems by Rowan Williams, the former Archbishop of Canterbury."
NVA         ,NAVONA,NV6126,8.96931E+11,New York Polyphony,"Brown, Gregory W.; Mass Text","Gregory W. Brown: Missa Charles Darwin (As Featured in the Novel ""Origin"" by Dan Brown)",COMPACT DISC,1,7.79,11.99,2017,"This is what evolution sounds like: the genetic sequence of Platyspiza crassirostis (one of Darwin's Finches) translated into notes, subjected to genetic and musical processes, and set to texts by Charles Darwin—all placed within the format of the traditional mass. The result is rising American composer Gregory W. Brown's Missa Charles Darwin, a secular Mass using texts from Darwin's On the Origin of Species and other writings. The piece, a collaboration between Brown and New York Polyphony bass Craig Phillips, who compiled and edited the texts, venerates Darwin as a seeker—a man who went against the grain in search of explanations and connections in the natural world. Casting the project in the form of a Mass creates clever parallels between the original liturgical form and Darwin's writings, pitting (for instance) the Mass's appeals for mercy against the mercilessness of natural selection. The piece's many interrelated passages and evocations of symmetry—present in both the traditional mass and this new work—underscore the beauty and eloquence of Darwin's writings."
NVA         ,NAVONA,NV6126S,8.4284E+11,NEW YORK POLYPHONY,"BROWN, GREGORY W.",MISSA CHARLES DARWIN (SIGNED),COMPACT DISC,1,7.79,11.99,2017,
